Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,2,4,0,3,0,1,2,2,4,0,3,0,1,2,2,4,0,3,0,1,2,2,4,0,3,0,1,2
1972,0,1,0,3,0,1,1,0,1,0,3,0,1,1,0,1,0,3,0,1,1,0,1,0,3,0,1,1
1973,4,3,2,0,1,1,2,4,3,2,0,1,1,2,4,3,2,0,1,1,2,4,3,2,0,1,1,2
1974,0,3,0,2,2,1,1,0,3,0,2,2,1,1,0,3,0,2,2,1,1,0,3,0,2,2,1,1
1975,2,1,0,2,0,0,1,2,1,0,2,0,0,1,2,1,0,2,0,0,1,2,1,0,2,0,0,1
1976,0,1,0,0,4,0,1,0,1,0,0,4,0,1,0,1,0,0,4,0,1,0,1,0,0,4,0,1
1977,0,1,0,0,2,0,1,0,1,0,0,2,0,1,0,1,0,0,2,0,1,0,1,0,0,2,0,1
1978,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1
1979,0,1,1,0,0,2,1,0,1,1,0,0,2,1,0,1,1,0,0,2,1,0,1,1,0,0,2,1
1980,3,1,0,1,0,0,1,3,1,0,1,0,0,1,3,1,0,1,0,0,1,3,1,0,1,0,0,1
1981,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1982,2,2,2,1,3,1,2,2,2,2,1,3,1,2,2,2,2,1,3,1,2,2,2,2,1,3,1,2
1983,0,0,0,2,1,0,1,0,0,0,2,1,0,1,0,0,0,2,1,0,1,0,0,0,2,1,0,1
